Card Name,Rating - Draftmancer,Rating - AF,Set,Source
Cubby - Mighty Lost Boy,3,C+,3,Frank Karsten
Nutsy - Vulture Henchman,3,C+,3,Frank Karsten
Jafar - Striking Illusionist,3,C+,3,Frank Karsten
Helga Sinclair - Vengeful Partner,3,C+,3,Frank Karsten
Chief Tui - Proud of Motunui,3,C+,3,Frank Karsten
Rafiki - Mystical Fighter,3,C+,3,Frank Karsten
Slightly - Lost Boy,3,C+,3,Frank Karsten
Jim Hawkins - Thrill Seeker,2,C,3,Frank Karsten
Queen of Hearts - Wonderland Empress,2,C,3,Frank Karsten
The Queen - Hateful Rival,2,C,3,Frank Karsten
How Far I'll Go,2,C,3,Frank Karsten
McDuck Manor - Scrooge's Mansion,2,C,3,Frank Karsten
Moana - Born Leader,2,C,3,Frank Karsten
Flotsam - Riffraff,2,C,3,Frank Karsten
Joshua Sweet - The Doctor,2,C,3,Frank Karsten
Sumerian Talisman,2,C,3,Frank Karsten
Zazu - Steward of the Pride Lands,2,C,3,Frank Karsten
Genie - Cramped in the Lamp,2,C,3,Frank Karsten
Magica De Spell - Thieving Sorceress,2,C,3,Frank Karsten
Pua - Potbellied Buddy,2,C,3,Frank Karsten
Captain Hook's Rapier,2,C,3,Frank Karsten
Strike a Good Match,2,C,3,Frank Karsten
Tinker Bell - Generous Fairy,2,C,3,Frank Karsten
The Firebird - Force of Destruction,2,C,3,Frank Karsten
Morph - Space Goo,2,C,3,Frank Karsten
Pride Lands - Pride Rock,2,C,3,Frank Karsten
Scroop - Backstabber,2,C,3,Frank Karsten
Kit Cloudkicker - Navigator,2,C,3,Frank Karsten
Robin's Bow,2,C,3,Frank Karsten
Forbidden Mountain - Maleficent's Castle,2,C,3,Frank Karsten
Mickey Mouse - Stalwart Explorer,2,C,3,Frank Karsten
The Queen - Mirror Seeker,2,C,3,Frank Karsten
Last-Ditch Effort,2,C,3,Frank Karsten
Milo Thatch - Spirited Scholar,2,C,3,Frank Karsten
Rise of the Titans,2,C,3,Frank Karsten
De Vil Manor - Cruella's Estate,2,C,3,Frank Karsten
Never Land - Mermaid Lagoon,2,C,3,Frank Karsten
Nottingham - Prince John's Castle,2,C,3,Frank Karsten
Baloo - von Bruinwald XIII,2,C,3,Frank Karsten
Peter Pan - Lost Boy Leader,2,C,3,Frank Karsten
Simba - Scrappy Cub,1,C-,3,Frank Karsten
Diablo - Faithful Pet,1,C-,3,Frank Karsten
Prince John - Phony King,1,C-,3,Frank Karsten
Wendy Darling - Talented Sailor,1,C-,3,Frank Karsten
Captain Amelia - First in Command,1,C-,3,Frank Karsten
Fang - River City,1,C-,3,Frank Karsten
Kuzco's Palace - Home of the Emperor,1,C-,3,Frank Karsten
Magic Broom - The Big Sweeper,1,C-,3,Frank Karsten
Ursula - Deceiver,1,C-,3,Frank Karsten
Audrey Ramirez - The Engineer,1,C-,3,Frank Karsten
Kakamora - Menacing Sailor,1,C-,3,Frank Karsten
Orville - Ace Pilot,1,C-,3,Frank Karsten
RLS Legacy - Solar Galleon,1,C-,3,Frank Karsten
Trigger - Not-So-Sharp Shooter,1,C-,3,Frank Karsten
Maui's Fish Hook,1,C-,3,Frank Karsten
Shenzi - Hyena Pack Leader,1,C-,3,Frank Karsten
Lena Sabrewing - Rebellious Teenager,1,C-,3,Frank Karsten
99 Puppies,1,C-,3,Frank Karsten
Agrabah - Marketplace,1,C-,3,Frank Karsten
Jafar - Lamp Thief,1,C-,3,Frank Karsten
Minnie Mouse - Musical Artist,1,C-,3,Frank Karsten
I Will Find My Way,1,C-,3,Frank Karsten
It Calls Me,1,C-,3,Frank Karsten
Cleansing Rainwater,1,C-,3,Frank Karsten
Boss's Orders,1,C-,3,Frank Karsten
Heart of Te Fiti,1,C-,3,Frank Karsten
Scrooge McDuck - Richest Duck in the World,1,C-,3,Frank Karsten
Jetsam - Riffraff,1,C-,3,Frank Karsten
Maui - Soaring Demigod,1,C-,3,Frank Karsten
The Sorcerer's Tower - Wondrous Workspace,1,C-,3,Frank Karsten
Tiana's Palace - Jazz Restaurant,1,C-,3,Frank Karsten
Bestow a Gift,1,C-,3,Frank Karsten
Minnie Mouse - Funky Spelunker,1,C-,3,Frank Karsten
Treasure Guardian - Protector of the Cave,1,C-,3,Frank Karsten
Lucky Dime,1,C-,3,Frank Karsten
Pluto - Friendly Pooch,0,D,3,Frank Karsten
Skippy - Energetic Rabbit,0,D,3,Frank Karsten
Magica De Spell - The Midas Touch,0,D,3,Frank Karsten
The Bayou - Mysterious Swamp,0,D,3,Frank Karsten
Aurelian Gyrosensor,0,D,3,Frank Karsten
Sheriff of Nottingham - Corrupt Official,0,D,3,Frank Karsten
Peter Pan - Never Land Hero,0,D,3,Frank Karsten
Scrooge McDuck - Uncle Moneybags,0,D,3,Frank Karsten
Miss Bianca - Rescue Aid Society Agent,0,D,3,Frank Karsten
Tinker Bell - Very Clever Fairy,0,D,3,Frank Karsten
Olympus Would Be That Way,0,D,3,Frank Karsten
The Bare Necessities,0,D,3,Frank Karsten
Gizmosuit,0,D,3,Frank Karsten
Has Set My Heaaaaaaart...,0,D,3,Frank Karsten
Mickey Mouse - Trumpeter,0,D,3,Frank Karsten
Vault Door,0,D,3,Frank Karsten
Mama Odie - Mystical Maven,0,D,3,Frank Karsten
Gyro Gearloose - Gadget Whiz],0,D,3,Frank Karsten
[[I've Got a Dream],0,D,3,Frank Karsten
Repair,0,D,3,Frank Karsten
The Boss Is on a Roll,0,D,3,Frank Karsten
The Lamp,0,D,3,Frank Karsten
Jolly Roger - Hook's Ship,0,D,3,Frank Karsten
Quick Patch,0,D,3,Frank Karsten
Wildcat's Wrench,0,D,3,Frank Karsten
Magic Broom - Dancing Duster,0,D,3,Frank Karsten
Voyage,0,D,3,Frank Karsten
Map of Treasure Planet,0,D,3,Frank Karsten
Kit Cloudkicker - Spunky Bear Cub,0,F,3,Frank Karsten
Divebomb,0,F,3,Frank Karsten
Belle's House - Maurice's Workshop,0,F,3,Frank Karsten
Friend Like Me,0,F,3,Frank Karsten
On Your Feet! Now!,0,F,3,Frank Karsten
Airfoil,0,F,3,Frank Karsten
The Sorcerer's Hat,0,F,3,Frank Karsten
Scrooge's Top Hat,0,F,3,Frank Karsten
Starlight Vial,0,F,3,Frank Karsten
Belle - Accomplished Mystic,5,A,4,Frank Karsten
Diablo - Devoted Herald,5,A,4,Frank Karsten
Cri-Kee - Lucky Cricket,5,A,4,Frank Karsten
Hercules - Beloved Hero,5,A,4,Frank Karsten
Raya - Unstoppable Force,5,A,4,Frank Karsten
Isabela Madrigal - Golden Child,5,A,4,Frank Karsten
Piglet - Sturdy Swordsman,5,A,4,Frank Karsten
Mulan - Elite Archer,5,A,4,Frank Karsten
Ursula - Sea Witch Queen,5,A,4,Frank Karsten
Chien-Po - Imperial Soldier,5,B+,4,Frank Karsten
Goofy - Super Goof,5,B+,4,Frank Karsten
Ariel - Sonic Warrior,5,B+,4,Frank Karsten
Tick-Tock - Ever-Present Pursuer,5,B+,4,Frank Karsten
Sisu - Emboldened Warrior,5,B+,4,Frank Karsten
Jasmine - Desert Warrior,5,B+,4,Frank Karsten
Pluto - Rescue Dog,5,B+,4,Frank Karsten
Sisu - Wise Friend,5,B+,4,Frank Karsten
Flynn Rider - Frenemy,5,B+,4,Frank Karsten
"Flotsam - Ursula's ""Baby""",5,B+,4,Frank Karsten
Julieta Madrigal - Excellent Cook,5,B+,4,Frank Karsten
We Don't Talk About Bruno,5,B+,4,Frank Karsten
Medallion Weights,5,B+,4,Frank Karsten
Noi - Acrobatic Baby,5,B+,4,Frank Karsten
Bruno Madrigal - Out of the Shadows,5,B+,4,Frank Karsten
Gaston - Despicable Dealer,4,B,4,Frank Karsten
Luisa Madrigal - Rock of the Family,4,B,4,Frank Karsten
Dolores Madrigal - Easy Listener,4,B,4,Frank Karsten
Tor - Florist,4,B,4,Frank Karsten
Rapunzel - Appreciative Artist,4,B,4,Frank Karsten
Pegasus - Cloud Racer,4,B,4,Frank Karsten
Pegasus - Gift for Hercules,4,B,4,Frank Karsten
Li Shang - Imperial Captain,4,B,4,Frank Karsten
Minnie Mouse - Musketeer Champion,4,B,4,Frank Karsten
Prince Eric - Seafaring Prince,4,B,4,Frank Karsten
Antonio Madrigal - Animal Expert,4,B,4,Frank Karsten
Belle - Untrained Mystic,4,B,4,Frank Karsten
"Jetsam - Ursula's ""Baby""",4,B,4,Frank Karsten
Hercules - Clumsy Kid,4,B,4,Frank Karsten
Lumiere - Fiery Friend,4,B,4,Frank Karsten
Nessus - River Guardian,4,B,4,Frank Karsten
Pegasus - Flying Steed,4,B,4,Frank Karsten
Elsa - Storm Chaser,4,B,4,Frank Karsten
Namaari - Heir of Fang,4,B,4,Frank Karsten
Heihei - Bumbling Rooster,4,B,4,Frank Karsten
Brawl,4,B,4,Frank Karsten
Cogsworth - Majordomo,4,B-,4,Frank Karsten
Look at this Family,4,B-,4,Frank Karsten
Hades - Meticulous Plotter,4,B-,4,Frank Karsten
Mulan - Armored Fighter,4,B-,4,Frank Karsten
The Mob Song,4,B-,4,Frank Karsten
Camilo Madrigal - Prankster,4,B-,4,Frank Karsten
Tuk Tuk - Lively Partner,4,B-,4,Frank Karsten
Mickey Mouse - Leader of the Band,4,B-,4,Frank Karsten
Magic Broom - Aerial Cleaner,4,B-,4,Frank Karsten
Mirabel Madrigal - Gift of the Family,4,B-,4,Frank Karsten
Luisa Madrigal - Magically Strong One,4,B-,4,Frank Karsten
Donald Duck - Buccaneer,4,B-,4,Frank Karsten
Mickey Mouse - Playful Sorcerer,4,B-,4,Frank Karsten
Daisy Duck - Musketeer Spy,4,B-,4,Frank Karsten
Jaq - Connoisseur of Climbing,4,B-,4,Frank Karsten
Megara - Captivating Cynic,4,B-,4,Frank Karsten
Raya - Fierce Protector,4,B-,4,Frank Karsten
Peter Pan - Shadow Finder,3,C+,4,Frank Karsten
Lefou - Opportunistic Flunky,3,C+,4,Frank Karsten
Magic Broom - Brigade Commander,3,C+,4,Frank Karsten
Stitch - Alien Dancer,3,C+,4,Frank Karsten
Hercules - Daring Demigod,3,C+,4,Frank Karsten
Yao - Imperial Soldier,3,C+,4,Frank Karsten
Second Star to the Right,3,C+,4,Frank Karsten
Donald Duck - Musketeer Soldier,3,C+,4,Frank Karsten
Prince Eric - Ursula's Groom,3,C+,4,Frank Karsten
Bruno Madrigal - Undetected Uncle,3,C+,4,Frank Karsten
Philoctetes - No-Nonsense Instructor,3,C+,4,Frank Karsten
Felix Madrigal - Fun-Loving Family Man,3,C+,4,Frank Karsten
Pain - Immortal Sidekick,3,C+,4,Frank Karsten
Mickey Mouse - Standard Bearer,3,C+,4,Frank Karsten
Agustin Madrigal - Clumsy Dad,3,C+,4,Frank Karsten
Gus - Champion of Cheese,3,C+,4,Frank Karsten
Megara - Liberated One,3,C+,4,Frank Karsten
Li Shang - General's Son,3,C+,4,Frank Karsten
Flotsam & Jetsam - Entangling Eels,3,C+,4,Frank Karsten
Tong - Survivor,3,C+,4,Frank Karsten
Be King Undisputed,3,C+,4,Frank Karsten
Tuk Tuk - Curious Partner,3,C+,4,Frank Karsten
Arges - The Cyclops,3,C+,4,Frank Karsten
Great Stone Dragon,3,C+,4,Frank Karsten
Zeus - Mr. Lightning Bolts,3,C+,4,Frank Karsten
Mickey Mouse - Musketeer Captain,3,C+,4,Frank Karsten
Prince Phillip - Gallant Defender,3,C+,4,Frank Karsten
Winter Camp - Medical Tent,3,C+,4,Frank Karsten
Ursula - Mad Sea Witch,3,C+,4,Frank Karsten
Ursula's Garden - Full of the Unfortunate,3,C+,4,Frank Karsten
Iduna - Caring Mother,3,C+,4,Frank Karsten
Transformed Chef - Castle Stove,3,C+,4,Frank Karsten
Ling - Imperial Soldier,3,C+,4,Frank Karsten
Rajah - Royal Protector,3,C+,4,Frank Karsten
Ursula - Eric's Bride,3,C+,4,Frank Karsten
Magic Broom - Illuminary Keeper,3,C+,4,Frank Karsten
Dang Hu - Talon Chief,3,C+,4,Frank Karsten
Hans - Noble Scoundrel,3,C+,4,Frank Karsten
Olaf - Carrot Enthusiast,3,C+,4,Frank Karsten
Pascal - Inquisitive Pet,2,C,4,Frank Karsten
Max - Loyal Sheepdog,2,C,4,Frank Karsten
Li Shang - Valorous General,2,C,4,Frank Karsten
Anna - True-Hearted,2,C,4,Frank Karsten
The Queen - Diviner,2,C,4,Frank Karsten
Triton - Young Prince,2,C,4,Frank Karsten
Chi-Fu - Imperial Advisor,2,C,4,Frank Karsten
Mirabel Madrigal - Prophecy Finder,2,C,4,Frank Karsten
The Underworld - River Styx,2,C,4,Frank Karsten
Pico - Helpful Toucan,2,C,4,Frank Karsten
Khan - Beloved Steed,2,C,4,Frank Karsten
Olaf - Trusting Companion,2,C,4,Frank Karsten
Aladdin - Brave Rescuer,2,C,4,Frank Karsten
Beast - Thick-Skinned,2,C,4,Frank Karsten
Mrs. Potts - Enchanted Teapot,2,C,4,Frank Karsten
The Muses - Proclaimers of Heroes,2,C,4,Frank Karsten
Mulan - Injured Soldier,2,C,4,Frank Karsten
Anna - Braving the Storm,2,C,4,Frank Karsten
John Silver - Terror of the Realm,2,C,4,Frank Karsten
Pepa Madrigal - Weather Maker,2,C,4,Frank Karsten
Magical Maid - Feather Duster,2,C,4,Frank Karsten
Ursula's Lair - Eye of the Storm,2,C,4,Frank Karsten
Fa Li - Mulan's Mother,2,C,4,Frank Karsten
Daisy Duck - Lovely Lady,2,C,4,Frank Karsten
Aladdin - Resolute Swordsman,2,C,4,Frank Karsten
Ariel - Determined Mermaid,2,C,4,Frank Karsten
Gunther - Interior Designer,2,C,4,Frank Karsten
Sisu - Daring Visitor,2,C,4,Frank Karsten
The Fates - Only One Eye,2,C,4,Frank Karsten
Ariel - Treasure Collector,2,C,4,Frank Karsten
Triton - Discerning King,2,C,4,Frank Karsten
Fortisphere,2,C,4,Frank Karsten
A Pirate's Life,2,C,4,Frank Karsten
Thebes - The Big Olive,2,C,4,Frank Karsten
Ursula - Vanessa,2,C,4,Frank Karsten
Lost in the Woods,1,C-,4,Frank Karsten
Training Grounds - Impossible Pillar,1,C-,4,Frank Karsten
Magic Broom - Lively Sweeper,1,C-,4,Frank Karsten
Panic - Immortal Sidekick,1,C-,4,Frank Karsten
Pete - Born to Cheat,1,C-,4,Frank Karsten
Pete - Rotten Guy,1,C-,4,Frank Karsten
Hidden Cove - Tranquil Haven,1,C-,4,Frank Karsten
Benja - Bold Uniter,1,C-,4,Frank Karsten
Mulan - Enemy of Entanglement,1,C-,4,Frank Karsten
Raya - Guardian of the Dragon Gem,1,C-,4,Frank Karsten
Dig a Little Deeper,1,C-,4,Frank Karsten
Ice Block,1,C-,4,Frank Karsten
One Last Hope,1,C-,4,Frank Karsten
Avalanche,1,C-,4,Frank Karsten
Ariel - Singing Mermaid,1,C-,4,Frank Karsten
Goofy - Musketeer Swordsman,1,C-,4,Frank Karsten
Marshmallow - Terrifying Snowman,1,C-,4,Frank Karsten
Hidden Inkcaster,1,C-,4,Frank Karsten
Aurora - Lore Guardian,1,C-,4,Frank Karsten
Vitalisphere,1,C-,4,Frank Karsten
Rose Lantern,1,C-,4,Frank Karsten
Prince Phillip - Warden of the Woods,1,C-,4,Frank Karsten
Seldom All They Seem,1,C-,4,Frank Karsten
Prince Phillip - Vanquisher of Foes,1,C-,4,Frank Karsten
Alma Madrigal - Family Matriarch,1,C-,4,Frank Karsten
Bruno's Return,1,C-,4,Frank Karsten
Yen Sid - Powerful Sorcerer,1,C-,4,Frank Karsten
Flounder - Collector's Companion,1,C-,4,Frank Karsten
Scuttle - Expert on Humans,1,C-,4,Frank Karsten
Under the Sea,1,C-,4,Frank Karsten
Snuggly Duckling - Disreputable Pub,1,C-,4,Frank Karsten
Triton's Decree,0,D,4,Frank Karsten
Triton's Trident,0,D,4,Frank Karsten
Casa Madrigal - Casita,0,D,4,Frank Karsten
Diablo - Maleficent's Spy,0,D,4,Frank Karsten
Hera - Queen of the Gods,0,D,4,Frank Karsten
Beast - Wounded,0,D,4,Frank Karsten
Imperial Proclamation,0,D,4,Frank Karsten
Aurora - Tranquil Princess,0,D,4,Frank Karsten
Imperial Bow,0,D,4,Frank Karsten
Vision Slab,0,D,4,Frank Karsten
Hades - Double Dealer,0,D,4,Frank Karsten
Glean,0,D,4,Frank Karsten
Cinderella - Melody Weaver,0,D,4,Frank Karsten
Make the Potion,0,D,4,Frank Karsten
Triton - Champion of Atlantica,0,D,4,Frank Karsten
Fa Zhou - Mulan's Father,0,D,4,Frank Karsten
Swing into Action,0,D,4,Frank Karsten
First Aid,0,D,4,Frank Karsten
Poor Unfortunate Souls,0,D,4,Frank Karsten
Mystical Rose,0,D,4,Frank Karsten
Ursula's Plan,0,D,4,Frank Karsten
"I Find 'em, I Flatten 'em!",0,D,4,Frank Karsten
Golden Harp - Enchanter of the Land,0,F,4,Frank Karsten
Miracle Candle,0,F,4,Frank Karsten
Record Player,0,F,4,Frank Karsten
Sisu - Empowered Sibling,4,B,4,Fortyborn
Atlantica - Concert Hall,0,F,4,Frank Karsten
Dodge!,0,F,4,Frank Karsten
Signed Contract,0,F,4,Frank Karsten
The Plank,0,F,4,Frank Karsten
RLS Legacy's Cannon,0,F,4,Frank Karsten
Ursula's Trickery,0,F,4,Frank Karsten
Ariel's Grotto - A Secret Place,0,F,4,Frank Karsten
The Wall - Border Fortress,0,F,4,Frank Karsten
Sign the Scroll,0,F,4,Frank Karsten
Treasures Untold,0,F,4,Frank Karsten
Field of Ice,0,F,4,Frank Karsten
Robin Hood - Timely Contestant,5,A,5,Frank Karsten
Madam Mim - Elephant,5,A,5,Frank Karsten
Scrooge McDuck - Afficionado of Antiquities,5,A,5,Frank Karsten
Camilo Madrigal - Family Copycat,5,A,5,Frank Karsten
Jafar - Tyrannical Hypnotist,5,A,5,Frank Karsten
Luisa Madrigal - Entertaining Muscle,5,A,5,Frank Karsten
Mother Gothel - Unwavering Schemer,5,A,5,Frank Karsten
Anna - Diplomatic Queen,5,A,5,Frank Karsten
Elsa - The Fifth Spirit,5,A,5,Frank Karsten
Maid Marian - Lady of the Lists,5,B+,5,Frank Karsten
The Nokk - Mythical Spirit,5,B+,5,Frank Karsten
Scroop - Odious Mutineer,5,B+,5,Frank Karsten
Arthur - King Victorious,5,B+,5,Frank Karsten
Moana - Determined Explorer,5,B+,5,Frank Karsten
Clarabelle - Light on Her Hooves,5,B+,5,Frank Karsten
Prince Phillip - Swordsman of the Realm,5,B+,5,Frank Karsten
Namaari - Resolute Daughter,5,B+,5,Frank Karsten
Zazu - Advisor to Mufasa,5,B+,5,Frank Karsten
Monstro - Whale of a Whale,5,B+,5,Frank Karsten
Bruni - Fire Salamander,5,B+,5,Frank Karsten
HeiHei - Protective Rooster,5,B+,5,Frank Karsten
Anna - Mystical Majesty,5,B+,5,Frank Karsten
Archimedes - Exasperated Owl,5,B+,5,Frank Karsten
Kuzco - Selfish Emperor,5,B+,5,Frank Karsten
The Library - A Gift for Belle,5,B+,5,Frank Karsten
Maximus - Team Champion,5,B+,5,Frank Karsten
Scar - Vengeful Lion,5,B+,5,Frank Karsten
Olaf - Happy Passenger,5,B+,5,Frank Karsten
Wreck‐It Ralph - Admiral Underpants,5,B+,5,Frank Karsten
Mufasa - Ruler of Pride Rock,5,B+,5,Frank Karsten
Clarabelle - Contented Wallflower,4,B,5,Frank Karsten
White Rabbit - Royal Herald,4,B,5,Frank Karsten
Ratigan - Party Crasher,4,B,5,Frank Karsten
Sir Ector - Castle Lord,4,B,5,Frank Karsten
King Candy - Sweet Abomination,4,B,5,Frank Karsten
Simba - Lost Prince,4,B,5,Frank Karsten
Denahi - Avenging Brother,4,B,5,Frank Karsten
Daisy Duck - Spotless Food‐Fighter,4,B,5,Frank Karsten
Gaston - Pure Paragon,4,B,5,Frank Karsten
Shenzi - Scar's Accomplice,4,B,5,Frank Karsten
Fauna - Good Fairy,4,B,5,Frank Karsten
Donald Duck - Focused Flatfoot,4,B,5,Frank Karsten
Doc - Bold Knight,4,B,5,Frank Karsten
Ludwig von Drake - Self‐Proclaimed Genius,4,B,5,Frank Karsten
Finders Keepers,4,B,5,Frank Karsten
Basil - Practiced Detective,4,B-,5,Frank Karsten
Archimedes - Electrified Owl,4,B-,5,Frank Karsten
Plate Armor,4,B-,5,Frank Karsten
Genie - Main Attraction,4,B-,5,Frank Karsten
Rafiki - Shaman Duelist,4,B-,5,Frank Karsten
Vanellope von Schweetz - Random Roster Racer,4,B-,5,Frank Karsten
Rudy - Groove Disrupter,4,B-,5,Frank Karsten
Vanellope von Schweetz - Sugar Rush Champ,4,B-,5,Frank Karsten
King Candy - Sovereign of Sugar,4,B-,5,Frank Karsten
Sven - Reindeer Steed,4,B-,5,Frank Karsten
Earth Giant - Living Mountain,4,B-,5,Frank Karsten
Shenzi - Head Hyena,4,B-,5,Frank Karsten
"Fix‐It Felix, Jr. - Trusty Builder",4,B-,5,Frank Karsten
Happy - Lively Knight,4,B-,5,Frank Karsten
Gale - Wind Spirit,4,B-,5,Frank Karsten
Merlin - Turtle,4,B-,5,Frank Karsten
Stitch - Team Underdog,4,B-,5,Frank Karsten
Donald Duck - Pie Slinger,4,B-,5,Frank Karsten
Rutt - Northern Moose,4,B-,5,Frank Karsten
Mother Gothel - Conceited Manipulator,4,B-,5,Frank Karsten
Flora - Good Fairy,4,B-,5,Frank Karsten
Mirabel Madrigal - Family Gatherer,4,B-,5,Frank Karsten
Snow White - Fair‐Hearted,3,C+,5,Frank Karsten
Pete - Steamboat Rival,3,C+,5,Frank Karsten
Turbo - Royal Hack,3,C+,5,Frank Karsten
Hypnotic Strength,3,C+,5,Frank Karsten
Snowanna Rainbeau - Cool Competitor,3,C+,5,Frank Karsten
Seven Dwarfs' Mine - Secure Fortress,3,C+,5,Frank Karsten
Emerald Chromicon,3,C+,5,Frank Karsten
Ruby Chromicon,3,C+,5,Frank Karsten
Invited to the Ball,3,C+,5,Frank Karsten
Yzma - Unjustly Treated,3,C+,5,Frank Karsten
Rapunzel's Tower - Secluded Prison,3,C+,5,Frank Karsten
Ed - Laughing Hyena,3,C+,5,Frank Karsten
Kronk - Unlicensed Investigator,3,C+,5,Frank Karsten
Merlin - Intellectual Visionary,3,C+,5,Frank Karsten
You're Welcome,3,C+,5,Frank Karsten
Ed - Hysterical Partygoer,3,C+,5,Frank Karsten
"Fix‐It Felix, Jr. - Niceland Steward",3,C+,5,Frank Karsten
Iago - Fake Flamingo,3,C+,5,Frank Karsten
Scar - Betrayer,3,C+,5,Frank Karsten
Banzai - Gluttonous Predator,3,C+,5,Frank Karsten
Rancis Fluggerbutter - Chocolate Charger,3,C+,5,Frank Karsten
Tuke - Northern Moose,3,C+,5,Frank Karsten
Tug‐of‐War,3,C+,5,Frank Karsten
Minnie Mouse - Dazzling Dancer,3,C+,5,Frank Karsten
Cogsworth - Illuminary Watchman,3,C+,5,Frank Karsten
Robin Hood - Sneaky Sleuth,3,C+,5,Frank Karsten
Vanellope von Schweetz - Candy Mechanic,3,C+,5,Frank Karsten
Maleficent - Vengeful Sorceress,3,C+,5,Frank Karsten
Taffyta Muttonfudge - Ruthless Rival,3,C+,5,Frank Karsten
Arthur - Wart,3,C+,5,Frank Karsten
Mickey Mouse - Food Fight Defender,2,C,5,Frank Karsten
Pete - Pastry Chomper,2,C,5,Frank Karsten
Simba - Adventurous Successor,2,C,5,Frank Karsten
Kronk - Head of Security,2,C,5,Frank Karsten
Healing Touch,2,C,5,Frank Karsten
Clarabelle - Clumsy Guest,2,C,5,Frank Karsten
Merryweather - Good Fairy,2,C,5,Frank Karsten
Minnie Mouse - Drum Major,2,C,5,Frank Karsten
Pete - Games Referee,2,C,5,Frank Karsten
Half Hexwell Crown,2,C,5,Frank Karsten
Minnie Mouse - Compassionate Friend,2,C,5,Frank Karsten
Vanellope von Schweetz - Sugar Rush Princess,2,C,5,Frank Karsten
Chaca - Impressive Daughter,2,C,5,Frank Karsten
Ulf - Mime,2,C,5,Frank Karsten
Amber Chromicon,2,C,5,Frank Karsten
Mickey Mouse - Enthusiastic Dancer,2,C,5,Frank Karsten
Tipo - Growing Son,2,C,5,Frank Karsten
Minnie Mouse - Quick-Thinking Inventor,2,C,5,Frank Karsten
King of Hearts - Monarch of Wonderland,2,C,5,Frank Karsten
Ratigan - Raging Rat,2,C,5,Frank Karsten
Simba - Son of Mufasa,2,C,5,Frank Karsten
Steel Chromicon,2,C,5,Frank Karsten
Glimmer vs Glimmer,2,C,5,Frank Karsten
Magical Aid,2,C,5,Frank Karsten
Gazelle - Pop Star,2,C,5,Frank Karsten
Pride Lands - Jungle Oasis,2,C,5,Frank Karsten
Prince John - Gold Lover,2,C,5,Frank Karsten
Robin Hood - Archery Contestant,2,C,5,Frank Karsten
Banzai - Taunting Hyena,1,C-,5,Frank Karsten
Healing Decanter,1,C-,5,Frank Karsten
Sneezy - Noisy Knight,1,C-,5,Frank Karsten
When Will My Life Begin?,1,C-,5,Frank Karsten
Maleficent - Formidable Queen,1,C-,5,Frank Karsten
Anna - Eager Acolyte,1,C-,5,Frank Karsten
Donald Duck - Daisy's Date,1,C-,5,Frank Karsten
Koda - Talkative Cub,1,C-,5,Frank Karsten
Magica De Spell - Cruel Sorceress,1,C-,5,Frank Karsten
Vision of the Future,1,C-,5,Frank Karsten
Tropical Rainforest - Jaguar Lair,1,C-,5,Frank Karsten
Taffyta Muttonfudge - Sour Speedster,1,C-,5,Frank Karsten
Night Howler Rage,1,C-,5,Frank Karsten
Ratigan's Party - Seedy Back Room,1,C-,5,Frank Karsten
Prince John's Mirror,1,C-,5,Frank Karsten
Bashful - Adoring Knight,1,C-,5,Frank Karsten
"Fix‐It Felix, Jr. - Delighted Sightseer",1,C-,5,Frank Karsten
Kenai - Big Brother,1,C-,5,Frank Karsten
Lilo - Junior Cake Decorator,1,C-,5,Frank Karsten
Pacha - Emperor's Guide,1,C-,5,Frank Karsten
Prince John - Opportunistic Briber,1,C-,5,Frank Karsten
Prince Naveen - Ukulele Player,1,C-,5,Frank Karsten
Royal Guard - Bovine Protector,1,C-,5,Frank Karsten
Tanana - Wise Woman,1,C-,5,Frank Karsten
The Queen - Fairest of All,1,C-,5,Frank Karsten
Wreck‐It Ralph - Demolition Dude,1,C-,5,Frank Karsten
Alan‐a‐Dale - Rockin' Rooster,1,C-,5,Frank Karsten
Bad‐Anon - Villain Support Center,1,C-,5,Frank Karsten
Dopey - Knight Apprentice,1,C-,5,Frank Karsten
Duck for Cover!,1,C-,5,Frank Karsten
Ever as Before,1,C-,5,Frank Karsten
Hypnotic Deduction,1,C-,5,Frank Karsten
Retrosphere,1,C-,5,Frank Karsten
Merlin - Back from Bermuda,1,C-,5,Frank Karsten
Amethyst Chromicon,1,C-,5,Frank Karsten
Arthur - Novice Sparrow,0,D,5,Frank Karsten
Grumpy - Skeptical Knight,0,D,5,Frank Karsten
Nala - Mischievous Cub,0,D,5,Frank Karsten
Little John - Camp Cook,0,D,5,Frank Karsten
Sleepy - Sluggish Knight,0,D,5,Frank Karsten
Try Everything,0,D,5,Frank Karsten
Elsa's Ice Palace - Place of Solitude,0,D,5,Frank Karsten
Break Free,0,D,5,Frank Karsten
Potion of Might,0,D,5,Frank Karsten
Who's With Me?,0,D,5,Frank Karsten
Sherwood Forest - Outlaw Hideaway,0,D,5,Frank Karsten
Sheriff of Nottingham - Bushel Britches,0,D,5,Frank Karsten
Maleficent - Vexed Partygoer,0,D,5,Frank Karsten
Taffyta Muttonfudge - Crowd Favorite,0,D,5,Frank Karsten
Chicha - Dedicated Mother,0,D,5,Frank Karsten
Evil Comes Prepared,0,D,5,Frank Karsten
Shield of Arendelle,0,D,5,Frank Karsten
Food Fight!,0,D,5,Frank Karsten
