Card Name,Rating - Draftmancer,Rating - AF,Set,Source,Notes,,LowInkValue,RegularInkValue,,PowerBand Options,max Power Band
You Can Fly!,0,D,2,Frank Karsten,,,0,0,,,
What did you call me?,0,D,2,Frank Karsten,,,0,0,,,
Merlin - Shapeshifter,0,D,2,Frank Karsten,,,0,0,,,
Fang Crossbow,0,D,2,Frank Karsten,,,0,0,,,
Cinderella - Ballroom Sensation,0,D,2,Frank Karsten,,,0,0,,,
Sardine Can,0,D,2,Frank Karsten,,,0,0,,,
Bibbidi Bobbidi Boo,0,D,2,Frank Karsten,,,0,0,,,
Prince John - Greediest of All,0,D,2,Frank Karsten,,,0,0,,,
Pick a Fight,0,D,2,Frank Karsten,,,0,0,,,
Launch,0,D,2,Frank Karsten,,,0,0,,,
Mrs. Judson - Housekeeper,0,D,2,Frank Karsten,,,0,0,,,
Queen of Hearts - Quick-Tempered,0,D,2,Frank Karsten,,,0,0,,,
Lady Tremaine - Overbearing Matriarch,0,D,2,Frank Karsten,,,0,0,,,
Snow White - Unexpected Houseguest,0,D,2,Frank Karsten,,,0,0,,,
Pinocchio - Talkative Puppet,0,D,2,Frank Karsten,,,0,0,,,
The Most Diabolical Scheme,0,D,2,Frank Karsten,,,0,0,,,
Dragon Gem,0,D,2,Frank Karsten,,,0,0,,,
The Sorcerer's Spellbook,0,D,2,Frank Karsten,,,0,0,,,
Honest John - Not That Honest,0,D,2,Frank Karsten,,,0,0,,,
The Queen - Disguised Peddler,0,D,2,Frank Karsten,,,0,0,,,
Falling Down the Rabbit Hole,0,D,2,Frank Karsten,,,0,0,,,
Gruesome And Grim,0,F,2,Frank Karsten,,,0,0,,,
Croquet Mallet,0,F,2,Frank Karsten,,,0,0,,,
Binding Contract,0,F,2,Frank Karsten,,,0,0,,,
Zero To Hero,0,F,2,Frank Karsten,,,0,0,,,
Sword In The Stone,0,F,2,Frank Karsten,,,0,0,,,
Perplexing Signposts,0,F,2,Frank Karsten,,,0,0,,,
Peter Pan's Dagger,0,F,2,Frank Karsten,,,0,0,,,
Sleepy's Flute,0,F,2,Frank Karsten,,,0,0,,,
Maurice's Workshop,0,F,2,Frank Karsten,,,0,0,,,
Ratigan's Marvelous Trap,0,F,2,Frank Karsten,,,0,0,,,
Robin Hood - Champion of Sherwood,5,A,3,Frank Karsten,,,5,5,,,
Hydra - Deadly Serpent,5,A,3,Frank Karsten,,,5,5,,,
Madame Medusa - The Boss,5,A,3,Frank Karsten,,,5,5,,,
Simba - Fighting Prince,5,A,3,Frank Karsten,,,5,5,,,
And Then Along Came Zeus,5,A,3,Frank Karsten,,,5,5,,,
Chernabog - Evildoer,5,A,3,Frank Karsten,,,5,5,,,
Kida - Protector of Atlantis,5,A,3,Frank Karsten,,,5,5,,,
Prince Eric - Expert Helmsman,5,A,3,Frank Karsten,,,5,5,,,
Don Karnage - Prince of Pirates,4,B+,3,Frank Karsten,,,5,4,,,
Maid Marian - Delightful Dreamer,4,B+,3,Frank Karsten,,,5,4,,,
Maleficent - Mistress of All Evil,4,B+,3,Frank Karsten,,,5,4,,,
Perdita - Devoted Mother,4,B+,3,Frank Karsten,,,3,4,,,
Pyros - Lava Titan,4,B+,3,Frank Karsten,,,5,4,,,
Helga Sinclair - Femme Fatale,4,B+,3,Frank Karsten,,,3,4,,,
Peter Pan - Pirate's Bane,4,B+,3,Frank Karsten,,,5,4,,,
Pluto - Determined Defender,4,B+,3,Frank Karsten,,,5,4,,,
Robin Hood - Daydreamer,4,B+,3,Frank Karsten,,,5,4,,,
Nani - Protective Sister,4,B+,3,Frank Karsten,,,5,4,,,
Simba - Rightful King,4,B+,3,Frank Karsten,,,5,4,,,
Mr. Snoops - Inept Businessman,4,B+,3,Frank Karsten,,,5,4,,,
Captain Hook - Master Swordsman,4,B+,3,Frank Karsten,,,5,4,,,
Genie - Supportive Friend,4,B+,3,Frank Karsten,,,3,4,,,
Lyle Tiberius Rourke - Cunning Mercenary,4,B+,3,Frank Karsten,,,3,4,,,
Mama Odie - Voice of Wisdom,4,B+,3,Frank Karsten,,,3,4,,,
Mr. Smee - Bumbling Mate,3,B,3,Frank Karsten,,,4,3,,,
Helga Sinclair - Right-Hand Woman,3,B,3,Frank Karsten,,,4,3,,,
Jim Hawkins - Space Traveler,3,B,3,Frank Karsten,,,4,3,,,
Eeyore - Overstuffed Donkey,3,B,3,Frank Karsten,,,4,3,,,
Little John - Robin's Pal,3,B,3,Frank Karsten,,,4,3,,,
Razoul - Palace Guard,3,B,3,Frank Karsten,,,4,3,,,
Sir Hiss - Aggravating Asp,3,B,3,Frank Karsten,,,4,3,,,
Gramma Tala - Keeper of Ancient Stories,3,B,3,Frank Karsten,,,4,3,,,
Maui - Whale,3,B,3,Frank Karsten,,,4,3,,,
King Louie - Bandleader,3,B,3,Frank Karsten,,,4,3,,,
Pluto - Mickey's Clever Friend,3,B,3,Frank Karsten,,,4,3,,,
Webby Vanderquack - Enthusiastic Duck,3,B,3,Frank Karsten,,,4,3,,,
Kida - Royal Warrior,3,B,3,Frank Karsten,,,4,3,,,
Alice - Tea Alchemist,3,B,3,Frank Karsten,,,4,3,,,
Rolly - Hungry Pup,3,B,3,Frank Karsten,,,4,3,,,
Magic Broom - Swift Cleaner,3,B,3,Frank Karsten,,,2,3,,,
The Queen's Castle - Mirror Chamber,2,B-,3,Frank Karsten,,,3,2,,,
Pongo - Determined Father,2,B-,3,Frank Karsten,,,3,2,,,
Louie - Chill Nephew,2,B-,3,Frank Karsten,,,3,2,,,
Stratos - Tornado Titan,2,B-,3,Frank Karsten,,,3,2,,,
Billy Bones - Keeper of the Map,2,B-,3,Frank Karsten,,,3,2,,,
Friar Tuck - Priest of Nottingham,2,B-,3,Frank Karsten,,,3,2,,,
Motunui - Island Paradise,2,B-,3,Frank Karsten,,,3,2,,,
Ursula - Sea Witch,2,B-,3,Frank Karsten,,,1,2,,,
Mufasa - Champion of the Pride Lands,2,B-,3,Frank Karsten,,,3,2,,,
Lucky - The 15th Puppy,2,B-,3,Frank Karsten,,,1,2,,,
Chernabog's Followers - Creatures of Evil,2,B-,3,Frank Karsten,,,3,2,,,
Stitch - Covert Agent,2,B-,3,Frank Karsten,,,3,2,,,
Stitch - Little Rocket,2,B-,3,Frank Karsten,,,1,2,,,
Gustav the Giant - Terror of the Kingdom,2,B-,3,Frank Karsten,,,3,2,,,
Ariel - Adventurous Collector,2,B-,3,Frank Karsten,,,3,2,,,
Flintheart Glomgold - Lone Cheater,2,B-,3,Frank Karsten,,,3,2,,,
Magic Carpet - Flying Rug,2,B-,3,Frank Karsten,,,3,2,,,
Moana - Undeterred Voyager,2,B-,3,Frank Karsten,,,3,2,,,
Iago - Pretty Polly,2,B-,3,Frank Karsten,,,3,2,,,
Wildcat - Mechanic,2,B-,3,Frank Karsten,,,3,2,,,
Ba-Boom!,2,B-,3,Frank Karsten,,,3,2,,,
Lythos - Rock Titan,2,B-,3,Frank Karsten,,,3,2,,,
John Silver - Greedy Treasure Seeker,2,B-,3,Frank Karsten,,,3,2,,,
Rufus - Orphanage Cat,2,B-,3,Frank Karsten,,,3,2,,,
Della Duck - Unstoppable Mom,2,B-,3,Frank Karsten,,,1,2,,,
Distract,2,B-,3,Frank Karsten,,,3,2,,,
Maui's Place of Exile - Hidden Island,2,B-,3,Frank Karsten,,,3,2,,,
Patch - Intimidating Pup,2,B-,3,Frank Karsten,,,3,2,,,
Milo Thatch - King of Atlantis,1,C+,3,Frank Karsten,,,1,1,,,
Hades - Hotheaded Ruler,1,C+,3,Frank Karsten,,,2,1,,,
Cursed Merfolk - Ursula's Handiwork,1,C+,3,Frank Karsten,,,1,1,,,
HeiHei - Accidental Explorer,1,C+,3,Frank Karsten,,,2,1,,,
Piglet - Pooh Pirate Captain,1,C+,3,Frank Karsten,,,2,1,,,
Little John - Resourceful Outlaw,1,C+,3,Frank Karsten,,,2,1,,,
Wendy Darling - Authority on Peter Pan,1,C+,3,Frank Karsten,,,2,1,,,
Dalmatian Puppy - Tail Wagger,1,C+,3,Frank Karsten,,,2,1,,,
Magica De Spell - Ambitious Witch,1,C+,3,Frank Karsten,,,2,1,,,
Heart of Atlantis,1,C+,3,Frank Karsten,,,1,1,,,
Gramma Tala - Spirit of the Ocean,1,C+,3,Frank Karsten,,,2,1,,,
Hydros - Ice Titan,1,C+,3,Frank Karsten,,,2,1,,,
Dewey - Showy Nephew,1,C+,3,Frank Karsten,,,2,1,,,
Kit Cloudkicker - Tough Guy,1,C+,3,Frank Karsten,,,2,1,,,
Nala - Fierce Friend,1,C+,3,Frank Karsten,,,2,1,,,
Robin Hood - Beloved Outlaw,1,C+,3,Frank Karsten,,,2,1,,,
Kida - Atlantean,1,C+,3,Frank Karsten,,,2,1,,,
Milo Thatch - Clever Cartographer,1,C+,3,Frank Karsten,,,2,1,,,
Starkey - Devious Pirate,1,C+,3,Frank Karsten,,,2,1,,,
Heal What Has Been Hurt,1,C+,3,Frank Karsten,,,2,1,,,
Huey - Savvy Nephew,1,C+,3,Frank Karsten,,,2,1,,,
Ursula - Deceiver of All,1,C+,3,Frank Karsten,,,2,1,,,
Bernard - Brand-New Agent,1,C+,3,Frank Karsten,,,2,1,,,
Thaddeus E. Klang - Metallic Leader,1,C+,3,Frank Karsten,,,2,1,,,
Cubby - Mighty Lost Boy,1,C+,3,Frank Karsten,,,2,1,,,
Nutsy - Vulture Henchman,1,C+,3,Frank Karsten,,,2,1,,,
Jafar - Striking Illusionist,1,C+,3,Frank Karsten,,,2,1,,,
Helga Sinclair - Vengeful Partner,1,C+,3,Frank Karsten,,,2,1,,,
Chief Tui - Proud of Motunui,1,C+,3,Frank Karsten,,,2,1,,,
Rafiki - Mystical Fighter,1,C+,3,Frank Karsten,,,2,1,,,
Slightly - Lost Boy,1,C+,3,Frank Karsten,,,2,1,,,
Jim Hawkins - Thrill Seeker,1,C,3,Frank Karsten,,,1,1,,,
Queen of Hearts - Wonderland Empress,1,C,3,Frank Karsten,,,1,1,,,
The Queen - Hateful Rival,1,C,3,Frank Karsten,,,1,1,,,
How Far I'll Go,1,C,3,Frank Karsten,,,1,1,,,
McDuck Manor - Scrooge's Mansion,1,C,3,Frank Karsten,,,1,1,,,
Moana - Born Leader,1,C,3,Frank Karsten,,,1,1,,,
Flotsam - Riffraff,1,C,3,Frank Karsten,,,1,1,,,
Joshua Sweet - The Doctor,1,C,3,Frank Karsten,,,1,1,,,
Sumerian Talisman,1,C,3,Frank Karsten,,,1,1,,,
Zazu - Steward of the Pride Lands,1,C,3,Frank Karsten,,,1,1,,,
Genie - Cramped in the Lamp,1,C,3,Frank Karsten,,,1,1,,,
Magica De Spell - Thieving Sorceress,1,C,3,Frank Karsten,,,1,1,,,
Pua - Potbellied Buddy,1,C,3,Frank Karsten,,,1,1,,,
Captain Hook's Rapier,1,C,3,Frank Karsten,,,1,1,,,
Strike a Good Match,1,C,3,Frank Karsten,,,1,1,,,
Tinker Bell - Generous Fairy,1,C,3,Frank Karsten,,,1,1,,,
The Firebird - Force of Destruction,1,C,3,Frank Karsten,,,1,1,,,
Morph - Space Goo,1,C,3,Frank Karsten,,,1,1,,,
Pride Lands - Pride Rock,1,C,3,Frank Karsten,,,1,1,,,
Scroop - Backstabber,1,C,3,Frank Karsten,,,1,1,,,
Kit Cloudkicker - Navigator,1,C,3,Frank Karsten,,,1,1,,,
Robin's Bow,1,C,3,Frank Karsten,,,1,1,,,
Forbidden Mountain - Maleficent's Castle,1,C,3,Frank Karsten,,,1,1,,,
Mickey Mouse - Stalwart Explorer,1,C,3,Frank Karsten,,,1,1,,,
The Queen - Mirror Seeker,1,C,3,Frank Karsten,,,1,1,,,
Last-Ditch Effort,1,C,3,Frank Karsten,,,1,1,,,
Milo Thatch - Spirited Scholar,1,C,3,Frank Karsten,,,1,1,,,
Rise of the Titans,1,C,3,Frank Karsten,,,1,1,,,
De Vil Manor - Cruella's Estate,1,C,3,Frank Karsten,,,1,1,,,
Never Land - Mermaid Lagoon,1,C,3,Frank Karsten,,,1,1,,,
Nottingham - Prince John's Castle,1,C,3,Frank Karsten,,,1,1,,,
Baloo - von Bruinwald XIII,1,C,3,Frank Karsten,,,1,1,,,
Peter Pan - Lost Boy Leader,1,C,3,Frank Karsten,,,1,1,,,
Simba - Scrappy Cub,1,C-,3,Frank Karsten,,,0,1,,,
Diablo - Faithful Pet,1,C-,3,Frank Karsten,,,1,1,,,
Prince John - Phony King,1,C-,3,Frank Karsten,,,0,1,,,
Wendy Darling - Talented Sailor,1,C-,3,Frank Karsten,,,1,1,,,
Captain Amelia - First in Command,1,C-,3,Frank Karsten,,,1,1,,,
Fang - River City,1,C-,3,Frank Karsten,,,1,1,,,
Kuzco's Palace - Home of the Emperor,1,C-,3,Frank Karsten,,,1,1,,,
Magic Broom - The Big Sweeper,1,C-,3,Frank Karsten,,,1,1,,,
Ursula - Deceiver,1,C-,3,Frank Karsten,,,1,1,,,
Audrey Ramirez - The Engineer,1,C-,3,Frank Karsten,,,1,1,,,
Kakamora - Menacing Sailor,1,C-,3,Frank Karsten,,,0,1,,,
Orville - Ace Pilot,1,C-,3,Frank Karsten,,,1,1,,,
RLS Legacy - Solar Galleon,1,C-,3,Frank Karsten,,,0,1,,,
Trigger - Not-So-Sharp Shooter,1,C-,3,Frank Karsten,,,1,1,,,
Maui's Fish Hook,1,C-,3,Frank Karsten,,,1,1,,,
Shenzi - Hyena Pack Leader,1,C-,3,Frank Karsten,,,1,1,,,
Lena Sabrewing - Rebellious Teenager,1,C-,3,Frank Karsten,,,1,1,,,
99 Puppies,1,C-,3,Frank Karsten,,,0,1,,,
Agrabah - Marketplace,1,C-,3,Frank Karsten,,,1,1,,,
Jafar - Lamp Thief,1,C-,3,Frank Karsten,,,1,1,,,
Minnie Mouse - Musical Artist,1,C-,3,Frank Karsten,,,1,1,,,
I Will Find My Way,1,C-,3,Frank Karsten,,,1,1,,,
It Calls Me,1,C-,3,Frank Karsten,,,1,1,,,
Cleansing Rainwater,1,C-,3,Frank Karsten,,,1,1,,,
Boss's Orders,1,C-,3,Frank Karsten,,,1,1,,,
Heart of Te Fiti,1,C-,3,Frank Karsten,,,1,1,,,
Scrooge McDuck - Richest Duck in the World,1,C-,3,Frank Karsten,,,0,1,,,
Jetsam - Riffraff,1,C-,3,Frank Karsten,,,1,1,,,
Maui - Soaring Demigod,1,C-,3,Frank Karsten,,,0,1,,,
The Sorcerer's Tower - Wondrous Workspace,1,C-,3,Frank Karsten,,,1,1,,,
Tiana's Palace - Jazz Restaurant,1,C-,3,Frank Karsten,,,0,1,,,
Bestow a Gift,1,C-,3,Frank Karsten,,,1,1,,,
Minnie Mouse - Funky Spelunker,1,C-,3,Frank Karsten,,,1,1,,,
Treasure Guardian - Protector of the Cave,1,C-,3,Frank Karsten,,,0,1,,,
Lucky Dime,1,C-,3,Frank Karsten,,,0,1,,,
Pluto - Friendly Pooch,0,D,3,Frank Karsten,,,0,0,,,
Skippy - Energetic Rabbit,0,D,3,Frank Karsten,,,0,0,,,
Magica De Spell - The Midas Touch,0,D,3,Frank Karsten,,,0,0,,,
The Bayou - Mysterious Swamp,0,D,3,Frank Karsten,,,0,0,,,
Aurelian Gyrosensor,0,D,3,Frank Karsten,,,0,0,,,
Sheriff of Nottingham - Corrupt Official,0,D,3,Frank Karsten,,,0,0,,,
Peter Pan - Never Land Hero,0,D,3,Frank Karsten,,,0,0,,,
Scrooge McDuck - Uncle Moneybags,0,D,3,Frank Karsten,,,0,0,,,
Miss Bianca - Rescue Aid Society Agent,0,D,3,Frank Karsten,,,0,0,,,
Tinker Bell - Very Clever Fairy,0,D,3,Frank Karsten,,,0,0,,,
Olympus Would Be That Way,0,D,3,Frank Karsten,,,0,0,,,
The Bare Necessities,0,D,3,Frank Karsten,,,0,0,,,
Gizmosuit,0,D,3,Frank Karsten,,,0,0,,,
Has Set My Heaaaaaaart...,0,D,3,Frank Karsten,,,0,0,,,
Mickey Mouse - Trumpeter,0,D,3,Frank Karsten,,,0,0,,,
Vault Door,0,D,3,Frank Karsten,,,0,0,,,
Mama Odie - Mystical Maven,0,D,3,Frank Karsten,,,0,0,,,
Gyro Gearloose - Gadget Whiz,0,D,3,Frank Karsten,,,0,0,,,
I've Got a Dream,0,D,3,Frank Karsten,,,0,0,,,
Repair,0,D,3,Frank Karsten,,,0,0,,,
The Boss Is on a Roll,0,D,3,Frank Karsten,,,0,0,,,
The Lamp,0,D,3,Frank Karsten,,,0,0,,,
Jolly Roger - Hook's Ship,0,D,3,Frank Karsten,,,0,0,,,
Quick Patch,0,D,3,Frank Karsten,,,0,0,,,
Wildcat's Wrench,0,D,3,Frank Karsten,,,0,0,,,
Magic Broom - Dancing Duster,0,D,3,Frank Karsten,,,0,0,,,
Voyage,0,D,3,Frank Karsten,,,0,0,,,
Map of Treasure Planet,0,D,3,Frank Karsten,,,0,0,,,
Kit Cloudkicker - Spunky Bear Cub,0,F,3,Frank Karsten,,,0,0,,,
Divebomb,0,F,3,Frank Karsten,,,0,0,,,
Belle's House - Maurice's Workshop,0,F,3,Frank Karsten,,,0,0,,,
Friend Like Me,0,F,3,Frank Karsten,,,0,0,,,
On Your Feet! Now!,0,F,3,Frank Karsten,,,0,0,,,
Airfoil,0,F,3,Frank Karsten,,,0,0,,,
The Sorcerer's Hat,0,F,3,Frank Karsten,,,0,0,,,
Scrooge's Top Hat,0,F,3,Frank Karsten,,,0,0,,,
Starlight Vial,0,F,3,Frank Karsten,,,0,0,,,
Belle - Accomplished Mystic,5,A,4,Frank Karsten,,,5,5,,,
Diablo - Devoted Herald,5,A,4,Frank Karsten,,,5,5,,,
Cri-Kee - Lucky Cricket,5,A,4,Frank Karsten,,,5,5,,,
Hercules - Beloved Hero,5,A,4,Frank Karsten,,,5,5,,,
Raya - Unstoppable Force,5,A,4,Frank Karsten,,,5,5,,,
Isabela Madrigal - Golden Child,5,A,4,Frank Karsten,,,5,5,,,
Piglet - Sturdy Swordsman,5,A,4,Frank Karsten,,,5,5,,,
Mulan - Elite Archer,5,A,4,Frank Karsten,,,5,5,,,
Ursula - Sea Witch Queen,5,A,4,Frank Karsten,,,5,5,,,
Chien-Po - Imperial Soldier,4,B+,4,Frank Karsten,,,5,4,,,
Goofy - Super Goof,4,B+,4,Frank Karsten,,,5,4,,,
Ariel - Sonic Warrior,4,B+,4,Frank Karsten,,,5,4,,,
Tick-Tock - Ever-Present Pursuer,4,B+,4,Frank Karsten,,,5,4,,,
Sisu - Emboldened Warrior,4,B+,4,Frank Karsten,,,5,4,,,
Jasmine - Desert Warrior,4,B+,4,Frank Karsten,,,3,4,,,
Pluto - Rescue Dog,4,B+,4,Frank Karsten,,,5,4,,,
Sisu - Wise Friend,4,B+,4,Frank Karsten,,,5,4,,,
Flynn Rider - Frenemy,4,B+,4,Frank Karsten,,,5,4,,,
"Flotsam - Ursula's ""Baby""",4,B+,4,Frank Karsten,,,3,4,,,
Julieta Madrigal - Excellent Cook,4,B+,4,Frank Karsten,,,5,4,,,
We Don't Talk About Bruno,4,B+,4,Frank Karsten,,,5,4,,,
Medallion Weights,4,B+,4,Frank Karsten,,,5,4,,,
Noi - Acrobatic Baby,4,B+,4,Frank Karsten,,,5,4,,,
Bruno Madrigal - Out of the Shadows,4,B+,4,Frank Karsten,,,3,4,,,
Gaston - Despicable Dealer,3,B,4,Frank Karsten,,,2,3,,,
Luisa Madrigal - Rock of the Family,3,B,4,Frank Karsten,,,4,3,,,
Dolores Madrigal - Easy Listener,3,B,4,Frank Karsten,,,4,3,,,
Tor - Florist,3,B,4,Frank Karsten,,,4,3,,,
Rapunzel - Appreciative Artist,3,B,4,Frank Karsten,,,4,3,,,
Pegasus - Cloud Racer,3,B,4,Frank Karsten,,,4,3,,,
Pegasus - Gift for Hercules,3,B,4,Frank Karsten,,,4,3,,,
Li Shang - Imperial Captain,3,B,4,Frank Karsten,,,4,3,,,
Minnie Mouse - Musketeer Champion,3,B,4,Frank Karsten,,,2,3,,,
Prince Eric - Seafaring Prince,3,B,4,Frank Karsten,,,4,3,,,
Antonio Madrigal - Animal Expert,3,B,4,Frank Karsten,,,4,3,,,
Belle - Untrained Mystic,3,B,4,Frank Karsten,,,4,3,,,
"Jetsam - Ursula's ""Baby""",3,B,4,Frank Karsten,,,4,3,,,
Hercules - Clumsy Kid,3,B,4,Frank Karsten,,,2,3,,,
Lumiere - Fiery Friend,3,B,4,Frank Karsten,,,4,3,,,
Nessus - River Guardian,3,B,4,Frank Karsten,,,4,3,,,
Pegasus - Flying Steed,3,B,4,Frank Karsten,,,4,3,,,
Elsa - Storm Chaser,3,B,4,Frank Karsten,,,2,3,,,
Namaari - Heir of Fang,3,B,4,Frank Karsten,,,2,3,,,
Heihei - Bumbling Rooster,3,B,4,Frank Karsten,,,4,3,,,
Brawl,3,B,4,Frank Karsten,,,4,3,,,
Cogsworth - Majordomo,2,B-,4,Frank Karsten,,,3,2,,,
Look at this Family,2,B-,4,Frank Karsten,,,3,2,,,
Hades - Meticulous Plotter,2,B-,4,Frank Karsten,,,3,2,,,
Mulan - Armored Fighter,2,B-,4,Frank Karsten,,,3,2,,,
The Mob Song,2,B-,4,Frank Karsten,,,1,2,,,
Camilo Madrigal - Prankster,2,B-,4,Frank Karsten,,,3,2,,,
Tuk Tuk - Lively Partner,2,B-,4,Frank Karsten,,,3,2,,,
Mickey Mouse - Leader of the Band,2,B-,4,Frank Karsten,,,3,2,,,
Magic Broom - Aerial Cleaner,2,B-,4,Frank Karsten,,,3,2,,,
Mirabel Madrigal - Gift of the Family,2,B-,4,Frank Karsten,,,1,2,,,
Luisa Madrigal - Magically Strong One,2,B-,4,Frank Karsten,,,1,2,,,
Donald Duck - Buccaneer,2,B-,4,Frank Karsten,,,3,2,,,
Mickey Mouse - Playful Sorcerer,2,B-,4,Frank Karsten,,,3,2,,,
Daisy Duck - Musketeer Spy,2,B-,4,Frank Karsten,,,3,2,,,
Jaq - Connoisseur of Climbing,2,B-,4,Frank Karsten,,,3,2,,,
Megara - Captivating Cynic,2,B-,4,Frank Karsten,,,1,2,,,
Raya - Fierce Protector,2,B-,4,Frank Karsten,,,3,2,,,
Peter Pan - Shadow Finder,1,C+,4,Frank Karsten,,,1,1,,,
Lefou - Opportunistic Flunky,1,C+,4,Frank Karsten,,,2,1,,,
Magic Broom - Brigade Commander,1,C+,4,Frank Karsten,,,2,1,,,
Stitch - Alien Dancer,1,C+,4,Frank Karsten,,,2,1,,,
Hercules - Daring Demigod,1,C+,4,Frank Karsten,,,1,1,,,
Yao - Imperial Soldier,1,C+,4,Frank Karsten,,,2,1,,,
Second Star to the Right,1,C+,4,Frank Karsten,,,1,1,,,
Donald Duck - Musketeer Soldier,1,C+,4,Frank Karsten,,,2,1,,,
Prince Eric - Ursula's Groom,1,C+,4,Frank Karsten,,,2,1,,,
Bruno Madrigal - Undetected Uncle,1,C+,4,Frank Karsten,,,2,1,,,
Philoctetes - No-Nonsense Instructor,1,C+,4,Frank Karsten,,,2,1,,,
Felix Madrigal - Fun-Loving Family Man,1,C+,4,Frank Karsten,,,2,1,,,
Pain - Immortal Sidekick,1,C+,4,Frank Karsten,,,2,1,,,
Mickey Mouse - Standard Bearer,1,C+,4,Frank Karsten,,,2,1,,,
Agustin Madrigal - Clumsy Dad,1,C+,4,Frank Karsten,,,2,1,,,
Gus - Champion of Cheese,1,C+,4,Frank Karsten,,,2,1,,,
Megara - Liberated One,1,C+,4,Frank Karsten,,,2,1,,,
Li Shang - General's Son,1,C+,4,Frank Karsten,,,2,1,,,
Flotsam & Jetsam - Entangling Eels,1,C+,4,Frank Karsten,,,2,1,,,
Tong - Survivor,1,C+,4,Frank Karsten,,,1,1,,,
Be King Undisputed,1,C+,4,Frank Karsten,,,1,1,,,
Tuk Tuk - Curious Partner,1,C+,4,Frank Karsten,,,2,1,,,
Arges - The Cyclops,1,C+,4,Frank Karsten,,,2,1,,,
Great Stone Dragon,1,C+,4,Frank Karsten,,,2,1,,,
Zeus - Mr. Lightning Bolts,1,C+,4,Frank Karsten,,,2,1,,,
Mickey Mouse - Musketeer Captain,1,C+,4,Frank Karsten,,,1,1,,,
Prince Phillip - Gallant Defender,1,C+,4,Frank Karsten,,,2,1,,,
Winter Camp - Medical Tent,1,C+,4,Frank Karsten,,,2,1,,,
Ursula - Mad Sea Witch,1,C+,4,Frank Karsten,,,2,1,,,
Ursula's Garden - Full of the Unfortunate,1,C+,4,Frank Karsten,,,2,1,,,
Iduna - Caring Mother,1,C+,4,Frank Karsten,,,2,1,,,
Transformed Chef - Castle Stove,1,C+,4,Frank Karsten,,,2,1,,,
Ling - Imperial Soldier,1,C+,4,Frank Karsten,,,2,1,,,
Rajah - Royal Protector,1,C+,4,Frank Karsten,,,2,1,,,
Ursula - Eric's Bride,1,C+,4,Frank Karsten,,,1,1,,,
Magic Broom - Illuminary Keeper,1,C+,4,Frank Karsten,,,2,1,,,
Dang Hu - Talon Chief,1,C+,4,Frank Karsten,,,2,1,,,
Hans - Noble Scoundrel,1,C+,4,Frank Karsten,,,2,1,,,
Olaf - Carrot Enthusiast,1,C+,4,Frank Karsten,,,2,1,,,
Pascal - Inquisitive Pet,1,C,4,Frank Karsten,,,1,1,,,
Max - Loyal Sheepdog,1,C,4,Frank Karsten,,,1,1,,,
Li Shang - Valorous General,1,C,4,Frank Karsten,,,1,1,,,
Anna - True-Hearted,1,C,4,Frank Karsten,,,1,1,,,
The Queen - Diviner,1,C,4,Frank Karsten,,,1,1,,,
Triton - Young Prince,1,C,4,Frank Karsten,,,1,1,,,
Chi-Fu - Imperial Advisor,1,C,4,Frank Karsten,,,1,1,,,
Mirabel Madrigal - Prophecy Finder,1,C,4,Frank Karsten,,,1,1,,,
The Underworld - River Styx,1,C,4,Frank Karsten,,,1,1,,,
Pico - Helpful Toucan,1,C,4,Frank Karsten,,,1,1,,,
Khan - Beloved Steed,1,C,4,Frank Karsten,,,1,1,,,
Olaf - Trusting Companion,1,C,4,Frank Karsten,,,1,1,,,
Aladdin - Brave Rescuer,1,C,4,Frank Karsten,,,1,1,,,
Beast - Thick-Skinned,1,C,4,Frank Karsten,,,1,1,,,
Mrs. Potts - Enchanted Teapot,1,C,4,Frank Karsten,,,1,1,,,
The Muses - Proclaimers of Heroes,1,C,4,Frank Karsten,,,1,1,,,
Mulan - Injured Soldier,1,C,4,Frank Karsten,,,1,1,,,
Anna - Braving the Storm,1,C,4,Frank Karsten,,,1,1,,,
John Silver - Terror of the Realm,1,C,4,Frank Karsten,,,1,1,,,
Pepa Madrigal - Weather Maker,1,C,4,Frank Karsten,,,1,1,,,
Magical Maid - Feather Duster,1,C,4,Frank Karsten,,,1,1,,,
Ursula's Lair - Eye of the Storm,1,C,4,Frank Karsten,,,1,1,,,
Fa Li - Mulan's Mother,1,C,4,Frank Karsten,,,1,1,,,
Daisy Duck - Lovely Lady,1,C,4,Frank Karsten,,,1,1,,,
Aladdin - Resolute Swordsman,1,C,4,Frank Karsten,,,1,1,,,
Ariel - Determined Mermaid,1,C,4,Frank Karsten,,,1,1,,,
Gunther - Interior Designer,1,C,4,Frank Karsten,,,1,1,,,
Sisu - Daring Visitor,1,C,4,Frank Karsten,,,1,1,,,
The Fates - Only One Eye,1,C,4,Frank Karsten,,,1,1,,,
Ariel - Treasure Collector,1,C,4,Frank Karsten,,,1,1,,,
Triton - Discerning King,1,C,4,Frank Karsten,,,1,1,,,
Fortisphere,1,C,4,Frank Karsten,,,1,1,,,
A Pirate's Life,1,C,4,Frank Karsten,,,1,1,,,
Thebes - The Big Olive,1,C,4,Frank Karsten,,,1,1,,,
Ursula - Vanessa,1,C,4,Frank Karsten,,,1,1,,,
Lost in the Woods,1,C-,4,Frank Karsten,,,1,1,,,
